label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Y2Ti2O7_O,16.6,100,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_Ti,34.8,100,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Y,33.900000000000006,100,39,8,0.181818182,2.4075,4.97,88.905838,212
Y3Al5O12_Al,52.0,300,13,5,0.25,1.85,4.56,26.9815384,118
Y3Al5O12_O,22.0,300,8,4,0.6,2.12,4.56,15.999,48
Y3Al5O12_Y,47.0,300,39,8,0.15,2.38,4.56,88.905838,212
Y4Zr3O12_O,18.33,300,8,3,0.63,2.24,5.48,15.999,48
Y4Zr3O12_Y,59.0,300,39,7,0.21,2.32,5.48,88.905838,212
Y4Zr3O12_Zr,54.5,300,40,6,0.16,2.21,5.48,91.224,206
YBa2Cu3O7_Ba,40.98,25,56,10,0.16,2.87,6.2,137.327,253
YBa2Cu3O7_Cu,17.62,25,29,4,0.22,1.88,6.2,63.546,145
YBa2Cu3O7_O,11.5,0,8,4,0.54,2.39,6.2,15.999,48
YBa2Cu3O7_O,18.8,25,8,4,0.54,2.39,6.2,15.999,48
YBa2Cu3O7_Y,38.97,25,39,8,0.08,2.41,6.2,88.905838,212
YSZ_O,40.0,310,8,4,0.66,2.2,6.21,15.999,48
YSZ_Zr,80.0,310,40,8,0.3,2.2,6.21,91.224,206
ZrC3_C,18.0,300,6,4,0.67,2.21,6.3092,12.011,67
ZrC3_Zr,37.0,300,40,4,0.33,2.21,6.3092,91.224,206
ZrC_C,16.0,300,6,4,0.5,2.21,6.61,12.011,67
ZrC_Zr,37.0,300,40,4,0.5,2.21,6.61,91.224,206
ZrN_N,29.0,50,7,6,0.5,2.29,7.23,14.007,56
ZrN_Zr,33.0,50,40,6,0.5,2.29,7.23,91.224,206
ZrO2_O,23.0,100,8,4,0.67,2.2,6.21,15.999,48
ZrO2_Zr,59.63,100,40,8,0.33,2.2,6.21,91.224,206
ZrSiO4_O,64.42857143,10,8,3,0.666666667,2.01,4.63,15.999,48
ZrSiO4_O,56.0,300,8,3,0.666666667,2.01,4.63,15.999,48
ZrSiO4_Si,53.25,10,14,4,0.166666667,1.62,4.63,28.085,111
ZrSiO4_Si,85.6,300,14,4,0.166666667,1.62,4.63,28.085,111
ZrSiO4_Zr,129.1428571,10,40,8,0.166666667,2.205,4.63,91.224,206
ZrSiO4_Zr,95.0,300,40,8,0.166666667,2.205,4.63,91.224,206
Zr_Zr,55.0,0,40,12,1.0,3.22,6.511,91.224,206
