Material,PKA,Reference,Measurement,Phase,Ed (eV),PKA_Z,PKA_r (A),PKA_m (u),PKA_Stochiometry,PKA_CN,PKA_l (A),Density (g/cm^3),T (K)
V,V,Banisalman_2019,MD,bcc,34,23,1.79,50.9415,1,8,2.58,6.11,NR
V,V,Yang_2021,AIMD,bcc,26,23,1.79,50.9415,1,8,2.58,6.11,NR
V,V,Yang_2021,MD,bcc,12,23,1.79,50.9415,1,8,2.58,6.11,NR
V,V,Zolnikov_2015,MD,bcc,32,23,1.79,50.9415,1,8,2.58,6.11,300
VZr,V,Jung_1975,RM,bcc,25,23,1.79,50.9415,1,8,2.58,6.38,4.5
V0.8Cr0.1Ti0.1,V,Phuong_2021,MD,TBA,28,23,1.79,50.9415,0.8,6,2.6,6.2,300
V0.9Cr0.05Ti0.05,V,Phuong_2021,MD,TBA,38,23,1.79,50.9415,0.9,6,2.6,6.2,300
V0.9Cr0.1,V,Phuong_2021,MD,TBA,30,23,1.79,50.9415,0.9,8,2.51,7.01,300
V0.9Ti0.1,V,Phuong_2021,MD,TBA,30,23,1.79,50.9415,0.9,8,2.7,5.39,300
W,W,Neely_1968,RM,hcp,40,74,2.1,183.84,1,8,2.75,19.25,4
W,W,Vadja_1977,AE,bcc,50,74,2.1,183.84,1,8,2.75,19.25,30
W,W,Banisalman_2017,MD,bcc,85,74,2.1,183.84,1,8,2.75,19.25,30
W,W,Fikar_2009,MD,bcc,45,74,2.1,183.84,1,8,2.75,19.25,10
W,W,Fikar_2009,MD,bcc,61,74,2.1,183.84,1,8,2.75,19.25,10
W,W,Fikar_2009,MD,bcc,55,74,2.1,183.84,1,8,2.75,19.25,10
W,W,Maury_1978,RM,bcc,43,74,2.1,183.84,1,8,2.75,19.25,NR
W,W,Banilsaman_2019,MD,bcc,42,74,2.1,183.84,1,8,2.75,19.25,NR
W,W,Yang_2021,AIMD,bcc,48,74,2.1,183.84,1,8,2.75,19.25,NR
W,W,Yang_2021,MD,bcc,36,74,2.1,183.84,1,8,2.75,19.25,NR
Y2Ti2O7,O,Smith_2003,TRCS,Fd-3m,47,8,0.48,15.999,0.636363636,4,2.258333333,4.97,293
Y2Ti2O7,Y,Smith_2003,TRCS,Fd-3m,8.4,39,2.12,88.90585,0.181818182,8,2.4075,4.97,293
Y2Ti2O7,Ti,Smith_2003,TRCS,Fd-3m,16,22,1.76,47.867,0.181818182,6,1.96,4.97,293
Y2Ti2O7,Y,Gao_2011,AIMD,Fd-3m,32.7,39,2.12,88.90585,0.181818182,8,2.4075,4.97,100
Y2Ti2O7,Ti,Gao_2011,AIMD,Fd-3m,34.2,22,1.76,47.867,0.181818182,6,1.96,4.97,100
Y2Ti2O7,O,Xiao_2010,AIMD,Fd-3m,16.6,8,0.48,15.999,0.636363636,4,2.258333333,4.97,100
Y2Ti2O7,Y,Xiao_2010,AIMD,Fd-3m,35.1,39,2.12,88.90585,0.181818182,8,2.4075,4.97,100
Y2Ti2O7,Ti,Xiao_2010,AIMD,Fd-3m,35.4,22,1.76,47.867,0.181818182,6,1.96,4.97,100
Y3Al5O12,Al,Cheng_2019,AIMD,TBA,52,13,1.43,26.9815,0.25,5,1.85,4.56,300
Y3Al5O12,Y,Cheng_2019,AIMD,TBA,47,39,2.12,88.90585,0.15,8,2.38,4.56,300
Y3Al5O12,O,Cheng_2019,AIMD,TBA,22,8,0.48,15.999,0.6,4,2.12,4.56,300
Y4Zr3O12,Zr,Mohan_2020,AIMD,delta,54.5,40,2.06,91.224,0.16,6,2.21,5.48,300
Y4Zr3O12,Y,Mohan_2020,AIMD,delta,59,39,2.12,88.90585,0.21,7,2.32,5.48,300
Y4Zr3O12,O,Mohan_2020,AIMD,delta,18.33,8,0.48,15.999,0.63,3,2.24,5.48,300
YBa2Cu3O7,O,Kirsanov_1992,MD,TBA,12.7,8,0.48,15.999,0.54,4,2.39,6.2,NR
YBa2Cu3O7,Ba,Kirsanov_1992,MD,TBA,37.2,56,2.53,137.327,0.16,10,2.87,6.2,NR
YBa2Cu3O7,Y,Kirsanov_1992,MD,TBA,46,39,2.12,88.90585,0.08,8,2.41,6.2,NR
YBa2Cu3O7,O,Cui_1994,MD,TBA,11.5,8,0.48,15.999,0.54,4,2.39,6.2,0
YBa2Cu3O7,O,Gray_2022,MD,TBA,18.8,8,0.48,15.999,0.54,4,2.39,6.2,25
YBa2Cu3O7,Ba,Gray_2022,MD,TBA,40.98,56,2.53,137.327,0.16,10,2.87,6.2,25
YBa2Cu3O7,Y,Gray_2022,MD,TBA,38.97,39,2.12,88.90585,0.08,8,2.41,6.2,25
YBa2Cu3O7,Cu,Gray_2022,MD,TBA,17.62,29,1.28,63.546,0.22,4,1.88,6.2,25
YSZ,O,Costantini_2007,HVEM,cubic,120,8,0.48,15.999,0.66,4,2.2,6.21,293
YSZ,Zr,Costantini_2007,HVEM,cubic,80,40,2.06,91.224,0.3,8,2.2,6.21,293
YSZ,Y,Costantini_2007,HVEM,cubic,80,39,2.12,88.90585,0.04,8,2.2,6.21,293
YSZ,O,Costantini_2011,MD,cubic,40,8,0.48,15.999,0.66,4,2.2,6.21,310
YSZ,Zr,Costantini_2011,MD,cubic,80,40,2.06,91.224,0.3,8,2.2,6.21,310
Zn,Zn,Myhra_1973,RM,hexagonal,14.5,30,1.42,65.38,1,12,2.87,7.14,5
Zn,Zn,Karim_1978,HVEM,hexagonal,9.2,30,1.42,65.38,1,12,2.87,7.14,
ZnO,O,Williford_1988,MD,Wurzite,52.3,8,0.48,15.999,0.5,4,1.97,5.7,NR
ZnO,Zn,Williford_1988,MD,Wurzite,30.2,30,1.39,65.38,0.5,4,1.97,5.7,NR
ZnO,O,Locker_1972,TRCS,Wurzite,57,8,0.48,15.999,0.5,4,1.97,5.7,313.15
ZnO,Zn,Locker_1972,TRCS,Wurzite,57,30,1.39,65.38,0.5,4,1.97,5.7,313.15
ZnO,O,Meese_1972,TRCS,Wurzite,57,8,0.48,15.999,0.5,4,1.97,5.7,293
ZnO,O,Yoshiie_1979,TEM,Wurzite,55,8,0.48,15.999,0.5,4,1.97,5.7,NR
ZnO,Zn,Yoshiie_1979,TEM,Wurzite,70,8,0.48,15.999,0.5,4,1.97,5.7,NR
ZnO,Zn,Yoshiie_1979,TEM,Wurzite,30,8,0.48,15.999,0.5,4,1.97,5.7,NR
ZnS,Zn,Bryant_1966,PE,h,9.9,30,1.39,65.38,0.5,4,2.33,4.14,77
ZnS,S,Bryant_1966,PE,h,20.2,16,0.88,32.065,0.5,4,2.33,4.14,77
ZnSe,Se,Kulp_1963,RM,h,8.2,34,1.03,78.96,0.5,4,2.45,5.28,85
ZnSe,Zn,Kulp_1963,RM,h,10,30,1.39,65.38,0.5,4,2.45,5.28,85
ZnSe,Se,Detweiler_1966,PE,h,8.2,34,1.03,78.96,0.5,4,2.45,5.28,10
ZnSe,Zn,Detweiler_1966,PE,h,7.8,30,1.39,65.38,0.5,4,2.45,5.28,10
ZnTe,Zn,Meese_1971,PE,cubic,7.35,30,1.39,65.38,0.5,4,2.65,5.62,NR
ZnTe,Te,Bryant_1972,PE,cubic,6.7,52,1.23,127.6,0.5,4,2.65,5.62,77
ZnTe,Zn,Bryant_1972,PE,cubic,7,30,1.39,65.38,0.5,4,2.65,5.62,77
Zr,Zr,Biget_1971,RM,hcp,21,40,1.86,91.224,1,12,3.22,6.511,7.5
Zr,Zr,Neely_1970,RM,hcp,28,40,1.86,91.224,1,12,3.22,6.511,8
Zr,Zr,Ackland_1995,MD,hcp,55,40,1.86,91.224,1,12,3.22,6.511,0
Zr,Zr,Yang_2021,AIMD,hcp,20,40,1.86,91.224,1,12,3.22,6.511,NR
Zr,Zr,Yang_2021,MD,hcp,16,40,1.86,91.224,1,12,3.22,6.511,NR
ZrC,Zr,Zheng_2016,AIMD,Zincblende,37,40,2.06,91.224,0.5,4,2.21,6.61,300
ZrC,C,Zheng_2016,AIMD,Zincblende,16,6,0.67,12.011,0.5,4,2.21,6.61,300
ZrC3,Zr,Zheng_2016,AIMD,Zincblende,37,40,2.06,91.224,0.33,4,2.21,6.3092,300
ZrC3,C,Zheng_2016,AIMD,Zincblende,18,6,0.67,12.011,0.67,4,2.21,6.3092,300
ZrN,Zr,Rahman_2021,AIMD,TBA,33,40,2.06,91.224,0.5,6,2.29,7.23,50
ZrN,N,Rahman_2021,AIMD,TBA,29,7,0.56,14.0067,0.5,6,2.29,7.23,50
ZrO2,O,Xiao_2012,AIMD,cubic,23,8,0.48,15.999,0.67,4,2.2,6.21,100
ZrO2,Zr,Xiao_2012,AIMD,cubic,59.63,40,2.06,91.224,0.33,8,2.2,6.21,100
ZrSiO4,Zr,Williford_1988,MD,zircon,90.4,40,2.06,91.224,0.166666667,8,2.205,4.63,NR
ZrSiO4,Si,Williford_1988,MD,zircon,20.4,14,2.1,28.0855,0.166666667,4,1.62,4.63,NR
ZrSiO4,O,Williford_1988,MD,zircon,53.1,8,0.48,15.999,0.666666667,3,2.01,4.63,NR
ZrSiO4,Zr,Crocombette_2001,MD,zircon,90,40,2.06,91.224,0.166666667,8,2.205,4.63,300
ZrSiO4,Si,Crocombette_2001,MD,zircon,98,14,2.1,28.0855,0.166666667,4,1.62,4.63,300
ZrSiO4,O,Crocombette_2001,MD,zircon,32,8,0.48,15.999,0.666666667,3,2.01,4.63,300
ZrSiO4,Zr,Park_2001,MD,zircon,129.1428571,40,2.06,91.224,0.166666667,8,2.205,4.63,10
ZrSiO4,Si,Park_2001,MD,zircon,53.25,14,2.1,28.0855,0.166666667,4,1.62,4.63,10
ZrSiO4,O,Park_2001,MD,zircon,64.42857143,8,0.48,15.999,0.666666667,3,2.205,4.63,10
ZrSiO4,Zr,Moreira_2009_1,MD,zircon,120,40,2.06,91.224,0.166666667,8,2.205,4.63,300
ZrSiO4,Si,Moreira_2009_1,MD,zircon,60,14,2.1,28.0855,0.166666667,4,1.62,4.63,300
ZrSiO4,O,Moreira_2009_1,MD,zircon,60,8,0.48,15.999,0.666666667,3,2.01,4.63,300
ZrSiO4,Zr,Moreira_2009_2,MD,zircon,75,40,2.06,91.224,0.166666667,8,2.205,4.63,300
ZrSiO4,Si,Moreira_2009_2,MD,zircon,75,14,2.1,28.0855,0.166666667,4,1.62,4.63,300
ZrSiO4,O,Moreira_2009_2,MD,zircon,64,8,0.48,15.999,0.666666667,3,2.01,4.63,300
ZrSiO4,Zr,Devanathan_2010_1,MD,zircon,74,40,2.06,91.224,0.166666667,8,2.205,4.63,300
ZrSiO4,Si,Devanathan_2010_1,MD,zircon,75,14,2.1,28.0855,0.166666667,4,1.62,4.63,300
ZrSiO4,O,Devanathan_2010_1,MD,zircon,64,8,0.48,15.999,0.666666667,3,2.01,4.63,300
ZrSiO4,Zr,Devanathan_2010_2,MD,zircon,116,40,2.06,91.224,0.166666667,8,2.205,4.63,300
ZrSiO4,Si,Devanathan_2010_2,MD,zircon,120,14,2.1,28.0855,0.166666667,4,1.62,4.63,300
ZrSiO4,O,Devanathan_2010_2,MD,zircon,60,8,0.48,15.999,0.666666667,3,2.01,4.63,300
