Material,PKA,Reference,Measurement,Phase,Ed (eV),PKA_Z,PKA_r (A),PKA_m (u),PKA_Stochiometry,PKA_CN,PKA_l (A),Density (g/cm^3),T (K)
CaZrO3,Zr,Smith_2003,TRCS,cubic,9.3,40,2.06,91.224,0.2,6,2.08,4.14,293
CaZrO3,Ca,Smith_2003,TRCS,cubic,21,20,1.94,40.078,0.2,12,2.94,4.14,293
CaZrTi2O7,O,Smith_2003,TRCS,triclinic,45,8,0.48,15.999,0.636363636,4,2.238333333,4.3,293
CaZrTi2O7,Ti,Smith_2003,TRCS,triclinic,15,22,1.76,47.867,0.181818182,6,2,4.3,293
CaZrTi2O7,Zr,Smith_2003,TRCS,triclinic,7.8,40,2.06,91.224,0.090909091,7,2.2,4.3,293
CaZrTi2O7,Ca,Smith_2003,TRCS,triclinic,18,20,1.94,40.078,0.090909091,8,2.515,4.3,293
CaZrTi2O7,O,Smith_2001,TRCS,triclinic,45,8,0.48,15.999,0.636363636,4,2.238333333,4.3,293
CaZrTi2O7_2,O,Veiller_2002,MD,C2/c ,15,8,0.48,15.999,0.636363636,4,2.18,4.4346,0
CaZrTi2O7_2,Ti,Veiller_2002,MD,C2/c ,43,22,1.76,47.867,0.181818182,6,1.95,4.4346,0
CaZrTi2O7_2,Zr,Veiller_2002,MD,C2/c ,48,40,2.06,91.224,0.090909091,7,2.16,4.4346,0
CaZrTi2O7_2,Ca,Veiller_2002,MD,C2/c ,25,20,1.94,40.078,0.090909091,8,2.43,4.4346,0
Cd,Cd,Maury_1971,RM,hcp,19,48,1.58,112.411,1,12,3.18,8.65,4.2
Cd,Cd,Karim_1978,HVEM,hcp,9.8,48,1.58,112.411,1,12,3.18,8.65,NR
CdS,S,Kulp_1960,RM,h,9,16,0.88,32.065,0.5,4,2.55,4.7,293
CdS,Cd,Kulp_1960,RM,h,7.3,48,1.61,112.411,0.5,4,2.55,4.7,293
CdSe,Cd,Kulp_1966,RM,h,6,48,1.61,112.411,0.5,4,2.66,5.48,77
CdSe,Se,Kulp_1966,RM,h,8.6,34,1.03,78.96,0.5,4,2.66,5.48,77
CdSe,Cd,Schulz_1967,RM,h,8.1,48,1.61,112.411,0.5,4,2.66,5.48,5
CdSe,Se,Schulz_1967,RM,h,8.6,34,1.03,78.96,0.5,4,2.66,5.48,5
CdTe,Te,Bryant_1968,PE,cubic,7.8,52,1.23,127.6,0.5,4,2.84,5.64,15
CdTe,Cd,Bryant_1968,PE,cubic,5.6,48,1.61,112.411,0.5,4,2.84,5.64,15
CeO2,O,Xiao_2012,AIMD,cubic,28.17,8,0.48,15.999,0.67,4,2.37,6.99,100
CeO2,Ce,Xiao_2012,AIMD,cubic,52.63,58,1.85,140.116,0.33,8,2.37,6.99,100
CeO2,O,Yasunaga_2008,HVTEM,cubic,33,8,0.48,15.999,0.67,4,2.37,6.99,650
CeO2,Ce,Yasunaga_2008,HVTEM,cubic,51,58,1.85,140.116,0.33,8,2.37,6.99,650
CeO2,O,Guglielmetti_2008,MD,cubic,27,8,0.48,15.999,0.67,4,2.37,6.99,30
CeO2,Ce,Guglielmetti_2008,MD,cubic,56,58,1.85,140.116,0.33,8,2.37,6.99,30
Co,Co,Maury_1969,RM,hcp,24,27,1.92,58.933195,1,12,2.47,8.9,7.2
Co,Co,Howe_1970,HVEM,hcp,27.8,27,1.92,58.933195,1,12,2.47,8.9,300
Co,Co,ASTME54,MD,hcp,40,27,1.92,58.933195,1,12,2.47,8.9,NR
Cr,Cr,ASTME54/Lucasson,MD,TBA,60,24,1.28,51.9961,1,8,2.57,7.19,NR
Cu,Cu,Iseler_1966,RM,fcc,19,29,1.4,63.546,1,12,2.53,8.96,4.2
Cu,Cu,Lucasson_1962,RM,fcc,22,29,1.4,63.546,1,12,2.53,8.96,20
Cu,Cu,Jung_1973,RM,fcc,29.66666667,29,1.4,63.546,1,12,2.53,8.96,4.2
Cu,Cu,Sosin_1965,AE,fcc,19,29,1.4,63.546,1,12,2.53,8.96,NR
