label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
MoSi2_Si,26.0,14,10,0.67,2.62,6.29,28.085,111
MoZr_Mo,34.0,42,8,1.0,2.74,10.02,95.95,190
Mo_Mo,36.875,42,8,1.0,2.74,10.28,95.95,190
NaCl_Cl,31.75,17,6,0.5,2.79,2.22,35.45,79
NaCl_Na,54.0,11,6,0.5,2.79,2.22,22.98976928,190
Nb3Ge_Ge,15.0,32,12,0.25,2.89,8.44,72.63,125
Nb3Ge_Nb,19.0,41,6,0.75,2.79,8.44,92.90637,198
NbZr_Nb,28.0,41,8,1.0,2.87,8.45,92.90637,198
Nb_Nb,31.8,41,8,1.0,2.87,8.57,92.90637,198
Ni3Al_Al,41.75,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Ni,30.716250000000002,28,12,0.75,2.49,7.71,58.6934,149
NiAl10_Al,22.0,13,12,0.1,2.46,9.29,26.9815384,118
NiAl10_Ni,24.0,28,12,0.9,2.46,9.29,58.6934,149
NiAl6_Al,22.0,13,12,0.06,2.46,9.29,26.9815384,118
NiAl6_Ni,23.0,28,12,0.94,2.46,9.29,58.6934,149
NiCo_Co,38.0,27,8,0.5,2.43,8.88,58.933194,152
NiCo_Ni,35.67,28,8,0.5,2.43,8.88,58.6934,149
Ni_Ni,32.875,28,12,1.0,2.46,8.908,58.6934,149
Pb_Pb,16.25,82,12,1.0,3.53,11.34,207.2,154
Pd_Pd,34.0,46,12,1.0,2.77,12.023,106.42,169
Pt_Pt,37.0,78,12,1.0,2.79,21.45,195.084,177
SiC_C,29.301547619047618,6,4,0.5,1.89,3.23,12.011,67
SiC_Si,63.509499999999996,14,4,0.5,1.89,3.23,28.085,111
SiO2_O,31.0,8,2,0.67,1.6,2.63,15.999,48
SiO2_Si,45.5,14,4,0.33,1.6,2.63,28.085,111
Si_Si,17.096,14,12,1.0,2.7,2.33,28.085,111
SmS_S,90.0,16,5,0.5,2.8,3.7,32.06,88
SmS_Sm,20.0,62,5,0.5,2.8,3.7,150.36,238
Sn_Sn,22.0,50,6,1.0,3.1,7.31,118.71,145
SrO_O,67.0,8,6,0.5,2.58,4.99,15.999,48
SrO_Sr,49.0,38,6,0.5,2.58,4.99,87.62,219
SrTiO3_O,44.0,8,6,0.6,2.5,5.0368915,15.999,48
SrTiO3_Sr,62.0,38,12,0.2,2.77,5.0368915,87.62,219
SrTiO3_Ti,140.0,22,6,0.2,1.96,5.0368915,47.867,176
Ta0.70W0.30_Ta,68.0,73,4,0.7,2.78,17.99,180.94788,200
Ta0.75W0.25_Ta,72.0,73,4,0.75,2.78,17.99,180.94788,200
Ta0.80W0.20_Ta,76.0,73,4,0.8,2.78,17.99,180.94788,200
Ta0.85W0.15_Ta,70.0,73,4,0.85,2.78,17.99,180.94788,200
Ta0.90W0.10_Ta,65.0,73,4,0.9,2.78,17.99,180.94788,200
Ta0.95W0.05_Ta,50.0,73,4,0.95,2.78,17.99,180.94788,200
TaC0.8_C,28.0,6,6,0.45,2.23,14.37,12.011,67
TaC0.8_Ta,32.0,73,6,0.65,2.23,14.37,180.94788,200
TaC_C,18.333333333333332,6,6,0.5,2.23,14.37,12.011,67
TaC_Ta,33.5,73,6,0.5,2.23,14.37,180.94788,200
TaS2_S,14.0,16,3,0.67,2.47,6.66,32.06,88
TaS3_Ta,16.0,73,8,0.25,2.53,5.88,180.94788,200
Ta_Ta,43.55,73,8,1.0,2.87,16.65,180.94788,200
ThO2_O,25.17,8,4,0.67,2.43,9.98,15.999,48
ThO2_Th,54.5,90,8,0.33,2.43,9.98,232.0377,237
Th_Th,35.0,90,12,1.0,3.57,11.724,232.0377,237
Ti3SiC2_C,28.0,6,6,0.33,2.19,4.5,12.011,67
Ti3SiC2_Si,31.0,14,6,0.17,2.7,4.5,28.085,111
Ti3SiC2_Ti,26.0,22,6,0.5,2.4,4.5,47.867,176
TiAl_Al,34.08,13,8,0.5,2.75,3.87,26.9815384,118
TiAl_Ti,27.5,22,8,0.5,2.75,3.87,47.867,176
TiO2_O,36.0,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_Ti,64.41666666833333,22,6,0.333333333,1.96,4.24,47.867,176
Ti_Ti,23.59166666666667,22,14,1.0,2.99,4.507,47.867,176
U1_U,68.65,92,8,1.0,2.48,19.05,238.02891,240
U2_U,51.96666666666667,92,8,1.0,2.9,21.15,238.02891,240
UAl3_Al,41.0,13,12,0.75,3.03,6.76,26.9815384,118
UAl3_U,20.0,92,12,0.25,3.03,6.76,238.02891,240
UO2_O,25.625,8,4,0.67,2.36,11.06,15.999,48
UO2_U,52.0,92,8,0.33,2.36,11.06,238.02891,240
V0.8Cr0.1Ti0.1_V,28.0,23,6,0.8,2.6,6.2,50.9415,171
V0.9Cr0.05Ti0.05_V,38.0,23,6,0.9,2.6,6.2,50.9415,171
V0.9Cr0.1_V,30.0,23,8,0.9,2.51,7.01,50.9415,171
V0.9Ti0.1_V,30.0,23,8,0.9,2.7,5.39,50.9415,171
VZr_V,25.0,23,8,1.0,2.58,6.38,50.9415,171
V_V,28.401666666666664,23,8,1.0,2.58,6.11,50.9415,171
W_W,48.73809523809524,74,8,1.0,2.75,19.25,183.84,193
Y2Ti2O7_O,31.8,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_Ti,25.4,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Y,21.150000000000002,39,8,0.181818182,2.4075,4.97,88.905838,212
Y3Al5O12_Al,52.0,13,5,0.25,1.85,4.56,26.9815384,118
Y3Al5O12_O,22.0,8,4,0.6,2.12,4.56,15.999,48
Y3Al5O12_Y,47.0,39,8,0.15,2.38,4.56,88.905838,212
