Type,label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
ceramic,UO2_O,20.0,293,8,4,0.67,2.36,11.06,15.999,48
ceramic,UO2_O,20.0,300,8,4,0.67,2.36,11.06,15.999,48
ceramic,UO2_U,42.5,1500,92,8,0.33,2.36,11.06,238.02891,240
ceramic,UO2_U,40.0,293,92,8,0.33,2.36,11.06,238.02891,240
ceramic,UO2_U,50.0,300,92,8,0.33,2.36,11.06,238.02891,240
ceramic,Y2Ti2O7_O,16.6,100,8,4,0.636363636,2.258333333,4.97,15.999,48
ceramic,Y2Ti2O7_O,47.0,293,8,4,0.636363636,2.258333333,4.97,15.999,48
ceramic,Y2Ti2O7_Ti,34.8,100,22,6,0.181818182,1.96,4.97,47.867,176
ceramic,Y2Ti2O7_Ti,16.0,293,22,6,0.181818182,1.96,4.97,47.867,176
ceramic,Y2Ti2O7_Y,33.900000000000006,100,39,8,0.181818182,2.4075,4.97,88.905838,212
ceramic,Y2Ti2O7_Y,8.4,293,39,8,0.181818182,2.4075,4.97,88.905838,212
ceramic,Y3Al5O12_Al,52.0,300,13,5,0.25,1.85,4.56,26.9815384,118
ceramic,Y3Al5O12_O,22.0,300,8,4,0.6,2.12,4.56,15.999,48
ceramic,Y3Al5O12_Y,47.0,300,39,8,0.15,2.38,4.56,88.905838,212
ceramic,Y4Zr3O12_O,18.33,300,8,3,0.63,2.24,5.48,15.999,48
ceramic,Y4Zr3O12_Y,59.0,300,39,7,0.21,2.32,5.48,88.905838,212
ceramic,Y4Zr3O12_Zr,54.5,300,40,6,0.16,2.21,5.48,91.224,206
ceramic,YBa2Cu3O7_Ba,40.98,25,56,10,0.16,2.87,6.2,137.327,253
ceramic,YBa2Cu3O7_Cu,17.62,25,29,4,0.22,1.88,6.2,63.546,145
ceramic,YBa2Cu3O7_O,11.5,0,8,4,0.54,2.39,6.2,15.999,48
ceramic,YBa2Cu3O7_O,18.8,25,8,4,0.54,2.39,6.2,15.999,48
ceramic,YBa2Cu3O7_Y,38.97,25,39,8,0.08,2.41,6.2,88.905838,212
ceramic,YSZ_O,120.0,293,8,4,0.66,2.2,6.21,15.999,48
ceramic,YSZ_O,40.0,310,8,4,0.66,2.2,6.21,15.999,48
ceramic,YSZ_Y,80.0,293,39,8,0.04,2.2,6.21,88.905838,212
ceramic,YSZ_Zr,80.0,293,40,8,0.3,2.2,6.21,91.224,206
ceramic,YSZ_Zr,80.0,310,40,8,0.3,2.2,6.21,91.224,206
ceramic,ZnO_O,57.0,293,8,4,0.5,1.97,5.7,15.999,48
ceramic,ZnO_O,57.0,313.15,8,4,0.5,1.97,5.7,15.999,48
ceramic,ZnO_Zn,57.0,313.15,30,4,0.5,1.97,5.7,65.38,142
ceramic,ZrC3_C,18.0,300,6,4,0.67,2.21,6.3092,12.011,67
ceramic,ZrC3_Zr,37.0,300,40,4,0.33,2.21,6.3092,91.224,206
ceramic,ZrC_C,16.0,300,6,4,0.5,2.21,6.61,12.011,67
ceramic,ZrC_Zr,37.0,300,40,4,0.5,2.21,6.61,91.224,206
ceramic,ZrN_N,29.0,50,7,6,0.5,2.29,7.23,14.007,56
ceramic,ZrN_Zr,33.0,50,40,6,0.5,2.29,7.23,91.224,206
ceramic,ZrO2_O,23.0,100,8,4,0.67,2.2,6.21,15.999,48
ceramic,ZrO2_Zr,59.63,100,40,8,0.33,2.2,6.21,91.224,206
ceramic,ZrSiO4_O,64.42857143,10,8,3,0.666666667,2.01,4.63,15.999,48
ceramic,ZrSiO4_O,56.0,300,8,3,0.666666667,2.01,4.63,15.999,48
ceramic,ZrSiO4_Si,53.25,10,14,4,0.166666667,1.62,4.63,28.085,111
ceramic,ZrSiO4_Si,85.6,300,14,4,0.166666667,1.62,4.63,28.085,111
ceramic,ZrSiO4_Zr,129.1428571,10,40,8,0.166666667,2.205,4.63,91.224,206
ceramic,ZrSiO4_Zr,95.0,300,40,8,0.166666667,2.205,4.63,91.224,206
ceramic_mono,C1_C,35.0,15,6,4,1.0,1.54,3.53,12.011,67
ceramic_mono,C1_C,43.37,293,6,4,1.0,1.54,3.53,12.011,67
ionic,KCl_K,27.5,331,19,6,0.5,3.14,2.0,39.0983,243
ionic,NaCl_Cl,41.0,0,17,6,0.5,2.79,2.22,35.45,79
ionic,NaCl_Cl,22.5,331,17,6,0.5,2.79,2.22,35.45,79
ionic,NaCl_Na,28.0,0,11,6,0.5,2.79,2.22,22.98976928,190
ionic,NaCl_Na,80.0,331,11,6,0.5,2.79,2.22,22.98976928,190
metal,Cu3Au_Au,18.0,20,79,12,0.25,2.64,12.35,196.96657,174
metal,Cu3Au_Cu,27.0,0,29,12,0.75,2.64,12.35,63.546,145
metal,Cu3Au_Cu,24.0,20,29,12,0.75,2.64,12.35,63.546,145
metal,CuAu_Au,22.0,0,79,8,0.5,2.7,14.86,196.96657,174
metal,CuAu_Au,18.0,20,79,8,0.5,2.7,14.86,196.96657,174
metal,CuAu_Cu,47.3,0,29,8,0.5,2.7,14.86,63.546,145
metal,CuAu_Cu,24.0,20,29,8,0.5,2.7,14.86,63.546,145
metal,Fe0.79Cr0.21_Cr,31.0,300,24,12,0.21,2.57,7.85,51.9961,166
metal,Fe0.79Cr0.21_Fe,31.0,300,26,12,0.79,2.43,7.85,55.845,156
metal,Fe0.82Cr0.18_Cr,31.0,300,24,12,0.18,2.57,7.85,51.9961,166
metal,Fe0.82Cr0.18_Fe,31.0,300,26,12,0.82,2.43,7.85,55.845,156
metal,Fe0.85Cr0.15_Cr,28.0,300,24,12,0.15,2.57,7.85,51.9961,166
metal,Fe0.85Cr0.15_Fe,28.0,300,26,12,0.94,2.43,7.85,55.845,156
metal,Fe0.85Cr0.15_Fe,18.0,773.15,26,12,0.94,2.43,7.85,55.845,156
metal,Fe0.88Cr0.12_Cr,30.0,300,24,12,0.12,2.57,7.85,51.9961,166
metal,Fe0.88Cr0.12_Fe,30.0,300,26,12,0.88,2.43,7.85,55.845,156
metal,Fe0.91Cr0.09_Cr,33.0,300,24,12,0.09,2.57,7.85,51.9961,166
metal,Fe0.91Cr0.09_Fe,32.0,300,26,12,0.91,2.43,7.85,55.845,156
metal,Fe0.94Cr0.06_Cr,30.0,300,24,12,0.06,2.57,7.85,51.9961,166
metal,Fe0.94Cr0.06_Fe,29.0,300,26,12,0.94,2.43,7.85,55.845,156
metal,Fe0.97Cr0.03_Cr,32.0,300,24,12,0.03,2.57,7.85,51.9961,166
metal,Fe0.97Cr0.03_Fe,32.0,300,26,12,0.97,2.43,7.85,55.845,156
metal,Fe3B_Fe,22.0,21,26,3,0.75,2.25,7.54,55.845,156
metal,FeCr_Cr,18.0,36,24,12,0.5,2.57,7.85,51.9961,166
metal,FeCr_Fe,17.0,36,26,12,0.5,2.43,7.85,55.845,156
metal,FeCu_Cu,39.4,0,29,8,0.5,2.485,8.38,63.546,145
metal,Ni3Al_Al,47.5,0,13,12,0.25,2.49,7.71,26.9815384,118
metal,Ni3Al_Al,44.0,100,13,12,0.25,2.49,7.71,26.9815384,118
metal,Ni3Al_Al,30.0,21,13,12,0.25,2.49,7.71,26.9815384,118
metal,Ni3Al_Ni,38.230000000000004,0,28,12,0.75,2.49,7.71,58.6934,149
metal,Ni3Al_Ni,36.0,100,28,12,0.75,2.49,7.71,58.6934,149
metal,Ni3Al_Ni,24.0,21,28,12,0.75,2.49,7.71,58.6934,149
metal,NiAl6_Al,22.0,21,13,12,0.06,2.46,9.29,26.9815384,118
metal,NiAl6_Ni,23.0,21,28,12,0.94,2.46,9.29,58.6934,149
metal,NiCo_Co,38.0,0,27,8,0.5,2.43,8.88,58.933194,152
metal,NiCo_Ni,35.67,0,28,8,0.5,2.43,8.88,58.6934,149
metal,Ta0.70W0.30_Ta,68.0,0,73,4,0.7,2.78,17.99,180.94788,200
metal,Ta0.75W0.25_Ta,72.0,0,73,4,0.75,2.78,17.99,180.94788,200
metal,Ta0.80W0.20_Ta,76.0,0,73,4,0.8,2.78,17.99,180.94788,200
metal,Ta0.85W0.15_Ta,70.0,0,73,4,0.85,2.78,17.99,180.94788,200
metal,Ta0.90W0.10_Ta,65.0,0,73,4,0.9,2.78,17.99,180.94788,200
metal,Ta0.95W0.05_Ta,50.0,0,73,4,0.95,2.78,17.99,180.94788,200
metal,TaS2_S,14.0,21,16,3,0.67,2.47,6.66,32.06,88
metal,TaS3_Ta,16.0,21,73,8,0.25,2.53,5.88,180.94788,200
metal,V0.8Cr0.1Ti0.1_V,28.0,300,23,6,0.8,2.6,6.2,50.9415,171
metal,V0.9Cr0.05Ti0.05_V,38.0,300,23,6,0.9,2.6,6.2,50.9415,171
metal,V0.9Cr0.1_V,30.0,300,23,8,0.9,2.51,7.01,50.9415,171
metal,V0.9Ti0.1_V,30.0,300,23,8,0.9,2.7,5.39,50.9415,171
metal_mono,Ag_Ag,24.666666666666668,10,47,12,1.0,2.9,10.49,107.8682,165
metal_mono,Ag_Ag,28.0,20,47,12,1.0,2.9,10.49,107.8682,165
metal_mono,Ag_Ag,27.0,30,47,12,1.0,2.9,10.49,107.8682,165
metal_mono,Ag_Ag,24.0,7,47,12,1.0,2.9,10.49,107.8682,165
metal_mono,Ag_Ag,24.0,75,47,12,1.0,2.9,10.49,107.8682,165
metal_mono,Al_Al,17.0,0,13,12,1.0,2.86,2.7,26.9815384,118
metal_mono,Al_Al,15.333333333333334,10,13,12,1.0,2.86,2.7,26.9815384,118
metal_mono,Al_Al,32.0,20,13,12,1.0,2.86,2.7,26.9815384,118
metal_mono,Al_Al,16.0,4.2,13,12,1.0,2.86,2.7,26.9815384,118
metal_mono,Al_Al,19.0,8,13,12,1.0,2.86,2.7,26.9815384,118
metal_mono,Au_Au,34.5,10,79,12,1.0,2.95,19.3,196.96657,174
metal_mono,Au_Au,36.0,15,79,12,1.0,2.95,19.3,196.96657,174
metal_mono,Be_Be,35.0,300,4,12,1.0,2.24,1.848,9.0121831,112
metal_mono,Cd_Cd,19.0,4.2,48,12,1.0,3.18,8.65,112.414,161
metal_mono,Co_Co,27.8,300,27,12,1.0,2.47,8.9,58.933194,152
metal_mono,Co_Co,24.0,7.2,27,12,1.0,2.47,8.9,58.933194,152
metal_mono,Cu_Cu,22.3,10,29,12,1.0,2.53,8.96,63.546,145
metal_mono,Cu_Cu,22.0,20,29,12,1.0,2.53,8.96,63.546,145
metal_mono,Cu_Cu,24.333333335,4.2,29,12,1.0,2.53,8.96,63.546,145
metal_mono,Cu_Cu,10.5,550,29,12,1.0,2.53,8.96,63.546,145
metal_mono,Cu_Cu,17.5,70,29,12,1.0,2.53,8.96,63.546,145
metal_mono,Fe_Fe,40.125,0,26,8,1.0,2.48,7.874,55.845,156
metal_mono,Fe_Fe,18.0,10,26,8,1.0,2.48,7.874,55.845,156
metal_mono,Fe_Fe,24.0,20,26,8,1.0,2.48,7.874,55.845,156
metal_mono,Fe_Fe,25.0,25,26,8,1.0,2.48,7.874,55.845,156
metal_mono,Fe_Fe,40.0,300,26,8,1.0,2.48,7.874,55.845,156
metal_mono,Fe_Fe,38.46153846153846,36,26,8,1.0,2.48,7.874,55.845,156
metal_mono,Fe_Fe,22.33333333,5.5,26,8,1.0,2.48,7.874,55.845,156
metal_mono,Fe_Fe,57.0,500,26,8,1.0,2.48,7.874,55.845,156
metal_mono,Ir_Ir,46.0,35,77,12,1.0,2.73,22.56,192.217,180
metal_mono,Lu_Lu,17.0,4.15,71,12,1.0,3.46,9.841,174.9668,217
metal_mono,Mg_Mg,11.33333333,293,12,12,1.0,3.17,1.738,24.305,145
metal_mono,Mg_Mg,10.0,4.2,12,12,1.0,3.17,1.738,24.305,145
metal_mono,MoZr_Mo,34.0,4.5,42,8,1.0,2.74,10.02,95.95,190
metal_mono,Mo_Mo,34.0,107,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,34.0,149,42,8,1.0,2.74,10.28,95.95,190
