label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
ZrC3_Zr,37.0,300,40,4,0.33,2.21,6.3092,91.224,206
ZrC_C,16.0,300,6,4,0.5,2.21,6.61,12.011,67
ZrC_Zr,37.0,300,40,4,0.5,2.21,6.61,91.224,206
ZrN_N,29.0,50,7,6,0.5,2.29,7.23,14.007,56
ZrN_Zr,33.0,50,40,6,0.5,2.29,7.23,91.224,206
ZrO2_O,23.0,100,8,4,0.67,2.2,6.21,15.999,48
ZrO2_Zr,59.63,100,40,8,0.33,2.2,6.21,91.224,206
ZrSiO4_O,64.42857143,10,8,3,0.666666667,2.01,4.63,15.999,48
ZrSiO4_O,56.0,300,8,3,0.666666667,2.01,4.63,15.999,48
ZrSiO4_Si,53.25,10,14,4,0.166666667,1.62,4.63,28.085,111
ZrSiO4_Si,85.6,300,14,4,0.166666667,1.62,4.63,28.085,111
ZrSiO4_Zr,129.1428571,10,40,8,0.166666667,2.205,4.63,91.224,206
ZrSiO4_Zr,95.0,300,40,8,0.166666667,2.205,4.63,91.224,206
